step,status,duration,args
preprocess,success,1.57,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
simulate_pipeline,error: [Errno 2] No such file or directory: 'config/bpp/aa/WAG_frequencies.bpp',1.57,"{'command': 'simulate', 'pre_input': 'data/prot_mammals', 'pre_output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa', 'align': 'results/preprocessed/clean_data', 'tree': 'data/prot_mammals/trees', 'config': 'config/bpp/aa/WAG_frequencies.bpp', 'sim_output': 'results/simulations', 'ext_rate': '0.3', 'class_config': 'config/classification.json', 'class_output': 'results/classification', 'tools': 'tools', 'tree_output': 'results/trees', 'metrics_output': 'results/metrics', 'report_output': 'results/report', 'func': <function simulate_cmd at 0x1074872e0>}"
preprocess,success,2.35,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
simulate_pipeline,error: [Errno 2] No such file or directory: 'fasttree',12.81,"{'command': 'simulate', 'pre_input': 'data/prot_mammals', 'pre_output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa', 'align': 'results/preprocessed/clean_data', 'tree': 'data/prot_mammals/trees', 'config': 'backup/config/bpp/aa/WAG_frequencies.bpp', 'sim_output': 'results/simulations', 'ext_rate': '0.3', 'class_config': 'backup/config_template.json', 'class_output': 'results/classification', 'tools': 'backup/', 'tree_output': 'results/trees', 'metrics_output': 'results/metrics', 'report_output': 'results/report', 'func': <function simulate_cmd at 0x7fb5d60c9a80>}"
preprocess,success,2.27,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
preprocess,success,2.36,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
preprocess,success,2.23,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
preprocess,success,2.31,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
preprocess,success,1.67,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
preprocess,success,2.35,"{'input': 'data/prot_mammals', 'output': 'results/preprocessed/clean_data', 'minseq': 5, 'maxsites': 2000, 'minsites': 100, 'alphabet': 'aa'}"
