2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.2, clf=LogisticRegressionClassifier, acc=0.7838340000000001
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=AACnnClassifier, acc=0.8153846263885498
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=DenseMsaClassifier, acc=0.7794871926307678
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=DenseSiteClassifier, acc=0.8384615182876587
2025-05-29 17:41:12,819 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.05, clf=LogisticRegressionClassifier, acc=0.776972
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=AACnnClassifier, acc=0.8589743375778198
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=DenseMsaClassifier, acc=0.8307692408561707
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=DenseSiteClassifier, acc=0.843589723110199
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0, clf=LogisticRegressionClassifier, acc=0.7759760000000001
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=AACnnClassifier, acc=0.8384615182876587
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=DenseMsaClassifier, acc=0.8410256505012512
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=DenseSiteClassifier, acc=0.807692289352417
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_data2_root_0.1, clf=LogisticRegressionClassifier, acc=0.7830900000000003
2025-05-29 17:41:12,820 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=AACnnClassifier, acc=0.8666666746139526
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=DenseMsaClassifier, acc=0.8461538553237915
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.05, clf=LogisticRegressionClassifier, acc=0.7986939999999998
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=AACnnClassifier, acc=0.8384615182876587
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=DenseMsaClassifier, acc=0.8512820601463318
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=DenseSiteClassifier, acc=0.800000011920929
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.5, clf=LogisticRegressionClassifier, acc=0.8145580000000002
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=AACnnClassifier, acc=0.8512820601463318
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=DenseMsaClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=DenseSiteClassifier, acc=0.7923076748847961
2025-05-29 17:41:12,821 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0, clf=LogisticRegressionClassifier, acc=0.79257
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=AACnnClassifier, acc=0.8384615182876587
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=DenseMsaClassifier, acc=0.8256410360336304
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.2, clf=LogisticRegressionClassifier, acc=0.797154
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=AACnnClassifier, acc=0.8512820601463318
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=DenseMsaClassifier, acc=0.8282051086425781
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=DenseSiteClassifier, acc=0.8025640845298767
2025-05-29 17:41:12,822 group=group3_WAG_sampling_seq_root, sim_name=WAG_sampling_seq_root_0.1, clf=LogisticRegressionClassifier, acc=0.793364
2025-05-29 17:41:12,822 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=AACnnClassifier, acc=0.8102564215660095
2025-05-29 17:41:12,822 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=DenseMsaClassifier, acc=0.8128204941749573
2025-05-29 17:41:12,822 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=DenseSiteClassifier, acc=0.7615384459495544
2025-05-29 17:41:12,822 group=group1_four_model_F, sim_name=DSO78_frequencies, clf=LogisticRegressionClassifier, acc=0.7575899999999998
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=WAG_frequencies, clf=AACnnClassifier, acc=0.8487179279327393
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=WAG_frequencies, clf=DenseMsaClassifier, acc=0.8153846263885498
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=WAG_frequencies, clf=DenseSiteClassifier, acc=0.8128204941749573
2025-05-29 17:41:12,823 group=group1_four_model_F, sim_name=WAG_frequencies, clf=LogisticRegressionClassifier, acc=0.7610980000000002
